[2022-08-21 09:53:30,675]^;WARNING^;224^;_internal.py^;_log()^; * Debugger is active!
[2022-08-21 09:53:30,685]^;INFO^;224^;_internal.py^;_log()^; * Debugger PIN: 134-210-643
[2022-08-21 09:53:43,194]^;INFO^;224^;_internal.py^;_log()^;127.0.0.1 - - [21/Aug/2022 09:53:43] "GET / HTTP/1.1" 200 -
[2022-08-21 09:53:43,800]^;INFO^;224^;_internal.py^;_log()^;127.0.0.1 - - [21/Aug/2022 09:53:43] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
[2022-08-21 09:53:48,492]^;INFO^;224^;_internal.py^;_log()^;127.0.0.1 - - [21/Aug/2022 09:53:48] "GET /predict HTTP/1.1" 200 -
[2022-08-21 09:55:26,952]^;INFO^;224^;_internal.py^;_log()^;127.0.0.1 - - [21/Aug/2022 09:55:26] "GET /saved_models HTTP/1.1" 200 -
[2022-08-21 09:55:32,611]^;INFO^;223^;configuration.py^;get_training_pipeline_config()^;Training pipleine config: TrainingPipelineConfig(artifact_dir='C:\\Users\\jjini\\insurance-\\insurance\\artifact')
[2022-08-21 09:55:32,615]^;INFO^;116^;pipeline.py^;run_pipeline()^;Pipeline starting.
[2022-08-21 09:55:32,616]^;INFO^;132^;pipeline.py^;run_pipeline()^;Pipeline experiment: Experiment(experiment_id='d50f273d-756e-4025-a7c9-f6de291144de', initialization_timestamp='2022-08-21-09-55-32', artifact_time_stamp='2022-08-21-09-55-32', running_status=True, start_time=datetime.datetime(2022, 8, 21, 9, 55, 32, 615098), stop_time=None, execution_time=None, message='Pipeline has been started.', experiment_file_path='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\experiment\\experiment.csv', accuracy=None, is_model_accepted=None)
[2022-08-21 09:55:32,631]^;INFO^;224^;_internal.py^;_log()^;127.0.0.1 - - [21/Aug/2022 09:55:32] "GET /train HTTP/1.1" 200 -
[2022-08-21 09:55:32,641]^;INFO^;63^;configuration.py^;get_data_ingestion_config()^;Data Ingestion config: DataIngestionConfig(local_file='C:\\Users\\jjini\\insurance-\\Data\\insurance .csv', raw_data_dir='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\data_ingestion\\2022-08-21-09-55-32\\ingested_data', ingested_train_dir='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\data_ingestion\\2022-08-21-09-55-32\\ingested_data\\train', ingested_test_dir='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\data_ingestion\\2022-08-21-09-55-32\\ingested_data\\test')
[2022-08-21 09:55:32,641]^;INFO^;21^;data_ingestion.py^;__init__()^;>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Ingestion log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
[2022-08-21 09:55:32,646]^;INFO^;54^;data_ingestion.py^;split_data_as_train_test()^;Reading csv file: [C:\Users\jjini\insurance-\insurance\artifact\data_ingestion\2022-08-21-09-55-32\ingested_data\insurance .csv]
[2022-08-21 09:55:32,699]^;INFO^;65^;data_ingestion.py^;split_data_as_train_test()^;Splitting data into train and test
[2022-08-21 09:55:32,712]^;INFO^;83^;data_ingestion.py^;split_data_as_train_test()^;Exporting training datset to file: [C:\Users\jjini\insurance-\insurance\artifact\data_ingestion\2022-08-21-09-55-32\ingested_data\train\train.csv]
[2022-08-21 09:55:32,725]^;INFO^;88^;data_ingestion.py^;split_data_as_train_test()^;Exporting test dataset to file: [C:\Users\jjini\insurance-\insurance\artifact\data_ingestion\2022-08-21-09-55-32\ingested_data\test\test.csv]
[2022-08-21 09:55:32,729]^;INFO^;96^;data_ingestion.py^;split_data_as_train_test()^;Data Ingestion artifact:[DataIngestionArtifact(train_file_path='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\data_ingestion\\2022-08-21-09-55-32\\ingested_data\\train\\train.csv', test_file_path='C:\\Users\\jjini\\insurance-\\insurance\\artifact\\data_ingestion\\2022-08-21-09-55-32\\ingested_data\\test\\test.csv', message='Data ingestion completed successfully.')]
[2022-08-21 09:55:32,729]^;INFO^;114^;data_ingestion.py^;__del__()^;>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Ingestion log completed.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 


[2022-08-21 09:55:32,730]^;INFO^;21^;data_validation.py^;__init__()^;>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Data Valdaition log started.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 


